,vertices,delta,runtime,deltafactor
941,10000,5547,3,1040
942,10000,4861,3,1040
943,10000,2368,3,1040
944,10000,2243,3,1040
945,10000,2292,4,1040
946,10000,2395,3,1040
947,10000,4451,3,1040
948,10000,734,4,1040
949,10000,1416,4,1050
950,10000,1118,4,1050
951,10000,5547,2,1050
952,10000,4861,3,1050
953,10000,2368,3,1050
954,10000,2243,3,1050
955,10000,2292,3,1050
956,10000,2395,3,1050
957,10000,4451,3,1050
958,10000,734,6,1050
959,10000,1416,3,1060
960,10000,1118,3,1060
961,10000,5547,2,1060
962,10000,4861,3,1060
963,10000,2368,3,1060
964,10000,2243,3,1060
965,10000,2292,3,1060
966,10000,2395,3,1060
967,10000,4451,3,1060
968,10000,734,4,1060
969,10000,1416,4,1070
970,10000,1118,4,1070
971,10000,5547,2,1070
972,10000,4861,3,1070
973,10000,2368,3,1070
974,10000,2243,4,1070
975,10000,2292,3,1070
976,10000,2395,3,1070
977,10000,4451,3,1070
978,10000,734,4,1070
979,10000,1416,3,1080
980,10000,1118,3,1080
981,10000,5547,3,1080
982,10000,4861,2,1080
983,10000,2368,3,1080
984,10000,2243,3,1080
985,10000,2292,4,1080
986,10000,2395,4,1080
987,10000,4451,2,1080
988,10000,734,4,1080
989,10000,1416,3,1090
990,10000,1118,4,1090
991,10000,5547,3,1090
992,10000,4861,3,1090
993,10000,2368,3,1090
994,10000,2243,3,1090
995,10000,2292,3,1090
996,10000,2395,3,1090
997,10000,4451,3,1090
998,10000,734,4,1090
999,10000,1416,4,1100
1000,10000,1118,4,1100
1001,10000,5547,2,1100
1002,10000,4861,3,1100
1003,10000,2368,3,1100
1004,10000,2243,4,1100
1005,10000,2292,3,1100
1006,10000,2395,3,1100
1007,10000,4451,3,1100
1008,10000,734,4,1100
1009,10000,1416,3,1110
1010,10000,1118,4,1110
1011,10000,5547,3,1110
1012,10000,4861,3,1110
1013,10000,2368,3,1110
1014,10000,2243,3,1110
1015,10000,2292,3,1110
1016,10000,2395,3,1110
1017,10000,4451,3,1110
1018,10000,734,4,1110
1019,10000,1416,3,1120
1020,10000,1118,4,1120
1021,10000,5547,2,1120
1022,10000,4861,3,1120
1023,10000,2368,3,1120
1024,10000,2243,3,1120
1025,10000,2292,4,1120
1026,10000,2395,3,1120
1027,10000,4451,3,1120
1028,10000,734,5,1120
1029,10000,1416,4,1130
1030,10000,1118,4,1130
1031,10000,5547,2,1130
1032,10000,4861,3,1130
1033,10000,2368,3,1130
1034,10000,2243,3,1130
1035,10000,2292,3,1130
1036,10000,2395,3,1130
1037,10000,4451,3,1130
1038,10000,734,4,1130
1039,10000,1416,3,1140
1040,10000,1118,4,1140
1041,10000,5547,3,1140
1042,10000,4861,3,1140
1043,10000,2368,4,1140
1044,10000,2243,3,1140
1045,10000,2292,3,1140
1046,10000,2395,3,1140
1047,10000,4451,3,1140
1048,10000,734,4,1140
1049,10000,1416,3,1150
1050,10000,1118,4,1150
1051,10000,5547,3,1150
1052,10000,4861,2,1150
1053,10000,2368,3,1150
1054,10000,2243,3,1150
1055,10000,2292,3,1150
1056,10000,2395,3,1150
1057,10000,4451,3,1150
1058,10000,734,4,1150
1059,10000,1416,3,1160
1060,10000,1118,4,1160
1061,10000,5547,3,1160
1062,10000,4861,3,1160
1063,10000,2368,3,1160
1064,10000,2243,3,1160
1065,10000,2292,3,1160
1066,10000,2395,4,1160
1067,10000,4451,3,1160
1068,10000,734,5,1160
1069,10000,1416,4,1170
1070,10000,1118,3,1170
1071,10000,5547,2,1170
1072,10000,4861,3,1170
1073,10000,2368,3,1170
1074,10000,2243,3,1170
1075,10000,2292,4,1170
1076,10000,2395,3,1170
1077,10000,4451,3,1170
1078,10000,734,4,1170
1079,10000,1416,4,1180
1080,10000,1118,7,1180
1081,10000,5547,2,1180
1082,10000,4861,3,1180
1083,10000,2368,3,1180
1084,10000,2243,4,1180
1085,10000,2292,3,1180
1086,10000,2395,3,1180
1087,10000,4451,3,1180
1088,10000,1416,4,1190
1089,10000,1118,4,1190
1090,10000,5547,3,1190
1091,10000,4861,2,1190
1092,10000,2368,3,1190
1093,10000,2243,3,1190
1094,10000,2292,3,1190
1095,10000,2395,3,1190
1096,10000,4451,4,1190
1097,10000,734,4,1190
1098,10000,1416,5,1200
1099,10000,1118,4,1200
1100,10000,5547,2,1200
1101,10000,4861,3,1200
1102,10000,2368,3,1200
1103,10000,2243,3,1200
1104,10000,2292,4,1200
1105,10000,2395,4,1200
1106,10000,4451,3,1200
1107,10000,734,5,1200
1108,10000,1416,4,1210
1109,10000,1118,3,1210
1110,10000,5547,3,1210
1111,10000,4861,3,1210
1112,10000,2368,3,1210
1113,10000,2243,3,1210
1114,10000,2292,3,1210
1115,10000,2395,3,1210
1116,10000,4451,3,1210
1117,10000,1416,4,1220
1118,10000,1118,4,1220
1119,10000,5547,2,1220
1120,10000,4861,3,1220
1121,10000,2368,4,1220
1122,10000,2243,3,1220
1123,10000,2292,4,1220
1124,10000,2395,3,1220
1125,10000,4451,3,1220
1126,10000,734,4,1220
1127,10000,1416,4,1230
1128,10000,1118,4,1230
1129,10000,5547,3,1230
1130,10000,4861,3,1230
1131,10000,2368,3,1230
1132,10000,2243,3,1230
1133,10000,2292,4,1230
1134,10000,2395,3,1230
1135,10000,4451,3,1230
1136,10000,734,4,1230
