,vertices,delta,runtime,deltafactor,seed,attempt
519,1000,0,0,1600,3,25
520,10000,0,0,1600,28,86
521,1000,0,0,1600,3,26
522,10000,0,0,1600,28,87
523,1000,0,0,1600,3,27
524,1000000,19289,3,1600,36,0
525,10000,0,0,1600,28,88
526,1000,0,0,1600,3,28
527,10000,0,0,1600,28,89
528,1000,0,0,1600,3,29
529,10000,0,0,1600,28,90
530,1000,0,0,1600,3,30
531,1000000,19181,3,1600,37,0
532,10000,0,0,1600,28,91
533,1000,0,0,1600,3,31
534,10000,0,0,1600,28,92
535,1000,0,0,1600,3,32
536,10000,0,0,1600,28,93
537,1000,0,0,1600,3,33
538,1000000,19004,3,1600,38,0
539,10000,0,0,1600,28,94
540,1000,0,0,1600,3,34
541,10000,0,0,1600,28,95
542,1000,0,0,1600,3,35
543,10000,0,0,1600,28,96
544,1000,0,0,1600,3,36
545,10000,0,0,1600,28,97
546,1000,0,0,1600,3,37
547,1000000,19038,4,1600,39,0
548,10000,0,0,1600,28,98
549,1000,0,0,1600,3,38
550,10000,0,0,1600,28,99
551,10000,1702,3,1600,29,0
552,10000,1138,4,1600,30,0
553,10000,1338,3,1600,31,0
554,10000,5388,3,1600,32,0
555,10000,3239,3,1600,33,0
556,10000,1545,3,1600,34,0
557,10000,4297,3,1600,35,0
558,10000,1241,4,1600,36,0
559,10000,754,7,1600,37,0
560,1000,0,0,1600,3,39
561,10000,0,0,1600,38,0
562,10000,1412,4,1600,38,1
563,1000,0,0,1600,3,40
564,1000000,18996,3,1600,40,0
565,10000,0,0,1600,39,0
566,1000,0,0,1600,3,41
567,10000,0,0,1600,39,1
568,1000,0,0,1600,3,42
569,10000,0,0,1600,39,2
570,1000000,19088,3,1600,41,0
571,1000,0,0,1600,3,43
572,10000,0,0,1600,39,3
573,1000,0,0,1600,3,44
574,10000,0,0,1600,39,4
575,10000,1186,4,1600,39,5
576,10000,3145,3,1600,40,0
577,1000,0,0,1600,3,45
578,10000,0,0,1600,41,0
579,10000,851,5,1600,41,1
580,1000000,19142,3,1600,42,0
581,1000,0,0,1600,3,46
582,10000,0,0,1600,42,0
583,1000,0,0,1600,3,47
584,10000,0,0,1600,42,1
585,1000,0,0,1600,3,48
586,10000,0,0,1600,42,2
587,10000,1091,4,1600,42,3
588,10000,4179,3,1600,43,0
589,1000000,19111,3,1600,43,0
590,1000,0,0,1600,3,49
591,10000,0,0,1600,44,0
592,1000,0,0,1600,3,50
593,10000,0,0,1600,44,1
594,1000,0,0,1600,3,51
595,10000,0,0,1600,44,2
596,1000000,19076,3,1600,44,0
597,1000,0,0,1600,3,52
598,10000,0,0,1600,44,3
599,1000,0,0,1600,3,53
600,10000,0,0,1600,44,4
601,1000,0,0,1600,3,54
602,10000,0,0,1600,44,5
603,1000000,19038,3,1600,45,0
604,1000,0,0,1600,3,55
605,10000,0,0,1600,44,6
606,1000,0,0,1600,3,56
607,10000,0,0,1600,44,7
608,1000,0,0,1600,3,57
609,1000000,19021,3,1600,46,0
610,10000,0,0,1600,44,8
611,10000,1101,5,1600,44,9
612,10000,2911,3,1600,45,0
613,10000,2969,3,1600,46,0
614,10000,1597,4,1600,47,0
615,10000,843,5,1600,48,0
616,10000,1154,4,1600,49,0
617,1000,0,0,1600,3,58
618,10000,0,0,1600,50,0
619,1000,0,0,1600,3,59
620,10000,0,0,1600,50,1
621,1000,0,0,1600,3,60
622,1000000,19161,3,1600,47,0
623,10000,0,0,1600,50,2
624,1000,0,0,1600,3,61
625,10000,0,0,1600,50,3
626,1000,0,0,1600,3,62
627,10000,0,0,1600,50,4
628,1000,0,0,1600,3,63
629,1000000,19125,3,1600,48,0
630,10000,0,0,1600,50,5
631,1000,0,0,1600,3,64
632,10000,0,0,1600,50,6
633,1000,0,0,1600,3,65
634,10000,0,0,1600,50,7
635,1000,0,0,1600,3,66
636,1000000,19055,3,1600,49,0
637,10000,0,0,1600,50,8
638,1000,0,0,1600,3,67
639,10000,0,0,1600,50,9
640,1000,0,0,1600,3,68
641,10000,0,0,1600,50,10
642,1000,0,0,1600,3,69
643,1000000,18893,3,1600,50,0
644,10000,0,0,1600,50,11
645,1000,0,0,1600,3,70
646,10000,0,0,1600,50,12
647,1000,0,0,1600,3,71
648,10000,0,0,1600,50,13
649,1000000,18675,3,1600,51,0
650,1000,0,0,1600,3,72
651,10000,0,0,1600,50,14
652,1000,0,0,1600,3,73
653,10000,0,0,1600,50,15
654,1000,0,0,1600,3,74
655,10000,0,0,1600,50,16
656,1000000,18688,3,1600,52,0
657,1000,0,0,1600,3,75
658,10000,0,0,1600,50,17
659,1000,0,0,1600,3,76
660,10000,0,0,1600,50,18
661,1000,0,0,1600,3,77
662,10000,0,0,1600,50,19
663,1000000,29946,3,1600,53,0
664,1000,0,0,1600,3,78
665,10000,0,0,1600,50,20
666,1000,0,0,1600,3,79
667,10000,0,0,1600,50,21
668,1000,0,0,1600,3,80
669,10000,0,0,1600,50,22
670,1000000,29667,3,1600,54,0
671,1000,0,0,1600,3,81
672,10000,0,0,1600,50,23
673,1000,0,0,1600,3,82
674,10000,0,0,1600,50,24
675,1000,0,0,1600,3,83
676,10000,0,0,1600,50,25
677,1000000,29640,3,1600,55,0
678,1000,0,0,1600,3,84
679,10000,0,0,1600,50,26
680,1000,0,0,1600,3,85
681,10000,0,0,1600,50,27
682,1000,0,0,1600,3,86
683,1000000,29547,3,1600,56,0
684,10000,0,0,1600,50,28
685,1000,0,0,1600,3,87
686,10000,0,0,1600,50,29
687,1000,0,0,1600,3,88
688,10000,0,0,1600,50,30
689,1000,0,0,1600,3,89
690,1000000,29551,3,1600,57,0
691,10000,0,0,1600,50,31
692,1000,0,0,1600,3,90
693,10000,0,0,1600,50,32
694,1000,0,0,1600,3,91
695,10000,0,0,1600,50,33
696,1000,0,0,1600,3,92
697,1000000,29811,3,1600,58,0
698,10000,0,0,1600,50,34
699,1000,0,0,1600,3,93
700,10000,0,0,1600,50,35
701,1000,0,0,1600,3,94
702,10000,0,0,1600,50,36
703,1000,0,0,1600,3,95
704,1000000,29840,3,1600,59,0
705,10000,0,0,1600,50,37
706,1000,0,0,1600,3,96
707,10000,0,0,1600,50,38
708,1000,0,0,1600,3,97
709,10000,0,0,1600,50,39
710,1000,0,0,1600,3,98
711,1000000,29769,3,1600,60,0
712,10000,0,0,1600,50,40
713,1000,0,0,1600,3,99
714,10000,0,0,1600,50,41
715,1000,0,0,1600,4,0
716,10000,0,0,1600,50,42
717,1000,0,0,1600,4,1
718,1000000,29760,3,1600,61,0
719,10000,0,0,1600,50,43
720,1000,0,0,1600,4,2
721,10000,0,0,1600,50,44
722,1000,0,0,1600,4,3
723,10000,0,0,1600,50,45
724,1000,0,0,1600,4,4
725,10000,0,0,1600,50,46
726,1000000,29620,4,1600,62,0
727,1000,0,0,1600,4,5
728,10000,0,0,1600,50,47
729,1000,0,0,1600,4,6
730,10000,0,0,1600,50,48
731,1000,0,0,1600,4,7
732,10000,0,0,1600,50,49
733,1000000,29606,3,1600,63,0
734,1000,0,0,1600,4,8
735,10000,0,0,1600,50,50
736,1000,0,0,1600,4,9
737,10000,0,0,1600,50,51
738,1000,0,0,1600,4,10
739,10000,0,0,1600,50,52
740,1000000,29747,3,1600,64,0
741,1000,0,0,1600,4,11
742,10000,0,0,1600,50,53
743,1000,0,0,1600,4,12
744,10000,0,0,1600,50,54
745,1000,0,0,1600,4,13
746,10000,0,0,1600,50,55
747,1000000,29794,3,1600,65,0
748,1000,0,0,1600,4,14
749,10000,0,0,1600,50,56
750,1000,0,0,1600,4,15
751,10000,0,0,1600,50,57
752,1000,0,0,1600,4,16
753,1000000,29794,3,1600,66,0
754,10000,0,0,1600,50,58
755,1000,0,0,1600,4,17
756,10000,0,0,1600,50,59
757,1000,0,0,1600,4,18
758,10000,0,0,1600,50,60
759,1000,0,0,1600,4,19
760,1000000,29646,3,1600,67,0
761,10000,0,0,1600,50,61
762,1000,0,0,1600,4,20
763,10000,0,0,1600,50,62
764,1000,0,0,1600,4,21
765,10000,0,0,1600,50,63
766,1000,0,0,1600,4,22
767,1000000,29785,3,1600,68,0
768,10000,0,0,1600,50,64
769,1000,0,0,1600,4,23
770,10000,0,0,1600,50,65
771,1000,0,0,1600,4,24
772,10000,0,0,1600,50,66
773,1000,0,0,1600,4,25
774,1000000,29822,3,1600,69,0
775,10000,0,0,1600,50,67
776,1000,0,0,1600,4,26
777,10000,0,0,1600,50,68
778,1000,0,0,1600,4,27
779,10000,0,0,1600,50,69
780,1000,0,0,1600,4,28
781,1000000,30136,3,1600,70,0
782,10000,0,0,1600,50,70
783,1000,0,0,1600,4,29
784,10000,0,0,1600,50,71
785,1000,0,0,1600,4,30
786,10000,0,0,1600,50,72
787,1000,0,0,1600,4,31
788,1000000,30016,3,1600,71,0
789,10000,0,0,1600,50,73
790,1000,0,0,1600,4,32
791,10000,0,0,1600,50,74
792,1000,0,0,1600,4,33
793,10000,0,0,1600,50,75
794,1000,0,0,1600,4,34
795,1000000,29948,3,1600,72,0
796,10000,0,0,1600,50,76
797,1000,0,0,1600,4,35
798,10000,0,0,1600,50,77
799,1000,0,0,1600,4,36
800,10000,0,0,1600,50,78
801,1000,0,0,1600,4,37
802,1000000,28863,3,1600,73,0
803,10000,0,0,1600,50,79
804,1000,0,0,1600,4,38
805,10000,0,0,1600,50,80
806,1000,0,0,1600,4,39
807,10000,0,0,1600,50,81
808,1000000,162492,3,1600,74,0
809,1000,0,0,1600,4,40
810,10000,0,0,1600,50,82
811,1000,0,0,1600,4,41
812,10000,0,0,1600,50,83
813,1000000,162030,2,1600,75,0
814,1000,0,0,1600,4,42
815,10000,0,0,1600,50,84
816,1000,0,0,1600,4,43
817,10000,0,0,1600,50,85
818,1000,0,0,1600,4,44
819,1000000,163133,2,1600,76,0
820,10000,0,0,1600,50,86
821,1000,0,0,1600,4,45
822,10000,0,0,1600,50,87
823,1000,0,0,1600,4,46
824,1000000,163078,2,1600,77,0
825,10000,0,0,1600,50,88
826,1000,0,0,1600,4,47
827,10000,0,0,1600,50,89
828,1000,0,0,1600,4,48
829,1000000,162674,2,1600,78,0
830,10000,0,0,1600,50,90
831,1000,0,0,1600,4,49
832,10000,0,0,1600,50,91
833,1000,0,0,1600,4,50
834,1000000,162386,2,1600,79,0
835,10000,0,0,1600,50,92
836,1000,0,0,1600,4,51
837,10000,0,0,1600,50,93
838,1000,0,0,1600,4,52
839,1000000,162096,2,1600,80,0
840,10000,0,0,1600,50,94
